Pokedex Number,Base Pokemon,Variant Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Mega,Paradox,Legendary,Pseudo-legendary,Ultrabeast,Regional Form,Mythical,img_name
63,Abra,Abra,Psychic,,310,25,20,15,105,55,90,1,False,False,False,False,False,False,False,0063_Abra.png
64,Kadabra,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False,False,False,False,False,False,False,0064_Kadabra.png
65,Alakazam,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False,False,False,False,False,False,False,0065_Alakazam.png
65,Alakazam,Mega Alakazam,Psychic,,600,55,50,65,175,105,150,1,True,False,False,False,False,False,False,0065_Mega Alakazam.png
66,Machop,Machop,Fighting,,305,70,80,50,35,35,35,1,False,False,False,False,False,False,False,0066_Machop.png
67,Machoke,Machoke,Fighting,,405,80,100,70,50,60,45,1,False,False,False,False,False,False,False,0067_Machoke.png
68,Machamp,Machamp,Fighting,,505,90,130,80,65,85,55,1,False,False,False,False,False,False,False,0068_Machamp.png
69,Bellsprout,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,False,False,False,False,False,False,0069_Bellsprout.png
70,Weepinbell,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,False,False,False,False,False,False,0070_Weepinbell.png
71,Victreebel,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,False,False,False,False,False,False,0071_Victreebel.png
72,Tentacool,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,False,False,False,False,False,False,0072_Tentacool.png
73,Tentacruel,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,False,False,False,False,False,False,0073_Tentacruel.png
74,Geodude,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,False,False,False,False,False,False,0074_Geodude.png
74,Geodude,Alolan Geodude,Rock,Electric,300,40,80,100,30,30,20,1,False,False,False,False,False,True,False,0074_Alolan Geodude.png
75,Graveler,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,False,False,False,False,False,False,0075_Graveler.png
75,Graveler,Alolan Graveler,Rock,Electric,390,55,95,115,45,45,35,1,False,False,False,False,False,True,False,0075_Alolan Graveler.png
76,Golem,Golem,Rock,Ground,485,80,110,130,55,65,45,1,False,False,False,False,False,False,False,0076_Golem.png
76,Golem,Alolan Golem,Rock,Electric,495,80,120,130,55,65,45,1,False,False,False,False,False,True,False,0076_Alolan Golem.png
77,Ponyta,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,False,False,False,False,False,False,0077_Ponyta.png
77,Ponyta,Galarian Ponyta,Psychic,,410,50,85,55,65,65,90,1,False,False,False,False,False,True,False,0077_Galarian Ponyta.png
78,Rapidash,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,False,False,False,False,False,False,0078_Rapidash.png
78,Rapidash,Galarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,1,False,False,False,False,False,True,False,0078_Galarian Rapidash.png
79,Slowpoke,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,False,False,False,False,False,False,0079_Slowpoke.png
79,Slowpoke,Galarian Slowpoke,Psychic,,315,90,65,65,40,40,15,1,False,False,False,False,False,True,False,0079_Galarian Slowpoke.png
80,Slowbro,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,False,False,False,False,False,False,0080_Slowbro.png
80,Slowbro,Mega Slowbro,Water,Psychic,490,95,100,95,100,70,30,1,True,False,False,False,False,False,False,0080_Mega Slowbro.png
80,Slowbro,Galarian Slowbro,Poison,Psychic,590,95,75,180,130,80,30,1,False,False,False,False,False,True,False,0080_Galarian Slowbro.png
81,Magnemite,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,False,False,False,False,False,False,0081_Magnemite.png
82,Magneton,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,False,False,False,False,False,False,0082_Magneton.png
83,Farfetch'd,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,1,False,False,False,False,False,False,False,0083_Farfetch'd.png
83,Farfetch'd,Galarian Farfetch'd,Fighting,,377,52,95,55,58,62,55,1,False,False,False,False,False,True,False,0083_Galarian Farfetch'd.png
84,Doduo,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,False,False,False,False,False,False,0084_Doduo.png
85,Dodrio,Dodrio,Normal,Flying,470,60,110,70,60,60,110,1,False,False,False,False,False,False,False,0085_Dodrio.png
86,Seel,Seel,Water,,325,65,45,55,45,70,45,1,False,False,False,False,False,False,False,0086_Seel.png
87,Dewgong,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,False,False,False,False,False,False,0087_Dewgong.png
88,Grimer,Grimer,Poison,,325,80,80,50,40,50,25,1,False,False,False,False,False,False,False,0088_Grimer.png
88,Grimer,Alolan Grimer,Poison,Dark,325,80,80,50,40,50,25,1,False,False,False,False,False,True,False,0088_Alolan Grimer.png
89,Muk,Muk,Poison,,500,105,105,75,65,100,50,1,False,False,False,False,False,False,False,0089_Muk.png
89,Muk,Alolan Muk,Poison,Dark,500,105,105,75,65,100,50,1,False,False,False,False,False,True,False,0089_Alolan Muk.png
90,Shellder,Shellder,Water,,305,30,65,100,45,25,40,1,False,False,False,False,False,False,False,0090_Shellder.png
91,Cloyster,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,False,False,False,False,False,False,0091_Cloyster.png
92,Gastly,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,False,False,False,False,False,False,0092_Gastly.png
93,Haunter,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,False,False,False,False,False,False,0093_Haunter.png
94,Gengar,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,False,False,False,False,False,False,0094_Gengar.png
94,Gengar,Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,True,False,False,False,False,False,False,0094_Mega Gengar.png
95,Onix,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,False,False,False,False,False,False,0095_Onix.png
96,Drowzee,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False,False,False,False,False,False,False,0096_Drowzee.png
97,Hypno,Hypno,Psychic,,483,85,73,70,73,115,67,1,False,False,False,False,False,False,False,0097_Hypno.png
98,Krabby,Krabby,Water,,325,30,105,90,25,25,50,1,False,False,False,False,False,False,False,0098_Krabby.png
99,Kingler,Kingler,Water,,475,55,130,115,50,50,75,1,False,False,False,False,False,False,False,0099_Kingler.png
100,Voltorb,Voltorb,Electric,,330,40,30,50,55,55,100,1,False,False,False,False,False,False,False,0100_Voltorb.png
100,Voltorb,Hisuian Voltorb,Electric,Grass,330,40,30,50,55,55,100,1,False,False,False,False,False,True,False,0100_Hisuian Voltorb.png
101,Electrode,Electrode,Electric,,480,60,50,70,80,80,140,1,False,False,False,False,False,False,False,0101_Electrode.png
101,Electrode,Hisuian Electrode,Electric,Grass,490,60,50,70,80,80,150,1,False,False,False,False,False,True,False,0101_Hisuian Electrode.png
102,Exeggcute,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,False,False,False,False,False,False,0102_Exeggcute.png
103,Exeggutor,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,1,False,False,False,False,False,False,False,0103_Exeggutor.png
103,Exeggutor,Alolan Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,1,False,False,False,False,False,True,False,0103_Alolan Exeggutor.png
104,Cubone,Cubone,Ground,,320,50,50,95,40,50,35,1,False,False,False,False,False,False,False,0104_Cubone.png
105,Marowak,Marowak,Ground,,425,60,80,110,50,80,45,1,False,False,False,False,False,False,False,0105_Marowak.png
105,Marowak,Alolan Marowak,Fire,Ghost,425,60,80,110,50,80,45,1,False,False,False,False,False,True,False,0105_Alolan Marowak.png
106,Hitmonlee,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False,False,False,False,False,False,False,0106_Hitmonlee.png
107,Hitmonchan,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False,False,False,False,False,False,False,0107_Hitmonchan.png
108,Lickitung,Lickitung,Normal,,385,90,55,75,60,75,30,1,False,False,False,False,False,False,False,0108_Lickitung.png
109,Koffing,Koffing,Poison,,340,40,65,95,60,45,35,1,False,False,False,False,False,False,False,0109_Koffing.png
110,Weezing,Weezing,Poison,,490,65,90,120,85,70,60,1,False,False,False,False,False,False,False,0110_Weezing.png
110,Weezing,Galarian Weezing,Poison,Fairy,490,65,90,120,85,70,60,1,False,False,False,False,False,True,False,0110_Galarian Weezing.png
111,Rhyhorn,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,False,False,False,False,False,False,0111_Rhyhorn.png
112,Rhydon,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,False,False,False,False,False,False,0112_Rhydon.png
113,Chansey,Chansey,Normal,,450,250,5,5,35,105,50,1,False,False,False,False,False,False,False,0113_Chansey.png
114,Tangela,Tangela,Grass,,435,65,55,115,100,40,60,1,False,False,False,False,False,False,False,0114_Tangela.png
115,Kangaskhan,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False,False,False,False,False,False,False,0115_Kangaskhan.png
115,Kangaskhan,Mega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,True,False,False,False,False,False,False,0115_Mega Kangaskhan.png
116,Horsea,Horsea,Water,,295,30,40,70,70,25,60,1,False,False,False,False,False,False,False,0116_Horsea.png
117,Seadra,Seadra,Water,,440,55,65,95,95,45,85,1,False,False,False,False,False,False,False,0117_Seadra.png
118,Goldeen,Goldeen,Water,,320,45,67,60,35,50,63,1,False,False,False,False,False,False,False,0118_Goldeen.png
119,Seaking,Seaking,Water,,450,80,92,65,65,80,68,1,False,False,False,False,False,False,False,0119_Seaking.png
120,Staryu,Staryu,Water,,340,30,45,55,70,55,85,1,False,False,False,False,False,False,False,0120_Staryu.png
121,Starmie,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,False,False,False,False,False,False,0121_Starmie.png
122,Mr. Mime,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,False,False,False,False,False,False,0122_Mr. Mime.png
122,Mr. Mime,Galarian Mr. Mime,Ice,Psychic,460,50,65,65,90,90,100,1,False,False,False,False,False,True,False,0122_Galarian Mr. Mime.png
123,Scyther,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,False,False,False,False,False,False,0123_Scyther.png
124,Jynx,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,False,False,False,False,False,False,0124_Jynx.png
125,Electabuzz,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False,False,False,False,False,False,False,0125_Electabuzz.png
126,Magmar,Magmar,Fire,,495,65,95,57,100,85,93,1,False,False,False,False,False,False,False,0126_Magmar.png
127,Pinsir,Pinsir,Bug,,500,65,125,100,55,70,85,1,False,False,False,False,False,False,False,0127_Pinsir.png
127,Pinsir,Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,True,False,False,False,False,False,False,0127_Mega Pinsir.png
128,Tauros,Tauros,Normal,,490,75,100,95,40,70,110,1,False,False,False,False,False,False,False,0128_Tauros.png
128,Tauros,Paldean Tauros (Combat Breed),Fighting,,490,75,110,105,30,70,100,1,False,False,False,False,False,True,False,0128_Paldean Tauros (Combat Breed).png
128,Tauros,Paldean Tauros (Blaze Breed),Fighting,Fire,490,75,110,105,30,70,100,1,False,False,False,False,False,True,False,0128_Paldean Tauros (Blaze Breed).png
128,Tauros,Paldean Tauros (Aqua Breed),Fighting,Water,490,75,110,105,30,70,100,1,False,False,False,False,False,True,False,0128_Paldean Tauros (Aqua Breed).png
129,Magikarp,Magikarp,Water,,200,20,10,55,15,20,80,1,False,False,False,False,False,False,False,0129_Magikarp.png
130,Gyarados,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,False,False,False,False,False,False,0130_Gyarados.png
130,Gyarados,Mega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,True,False,False,False,False,False,False,0130_Mega Gyarados.png
131,Lapras,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,False,False,False,False,False,False,0131_Lapras.png
132,Ditto,Ditto,Normal,,288,48,48,48,48,48,48,1,False,False,False,False,False,False,False,0132_Ditto.png
133,Eevee,Eevee,Normal,,325,55,55,50,45,65,55,1,False,False,False,False,False,False,False,0133_Eevee.png
134,Vaporeon,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,False,False,False,False,False,False,0134_Vaporeon.png
135,Jolteon,Jolteon,Electric,,525,65,65,60,110,95,130,1,False,False,False,False,False,False,False,0135_Jolteon.png
136,Flareon,Flareon,Fire,,525,65,130,60,95,110,65,1,False,False,False,False,False,False,False,0136_Flareon.png
137,Porygon,Porygon,Normal,,395,65,60,70,85,75,40,1,False,False,False,False,False,False,False,0137_Porygon.png
138,Omanyte,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,False,False,False,False,False,False,0138_Omanyte.png
139,Omastar,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,False,False,False,False,False,False,0139_Omastar.png
140,Kabuto,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,False,False,False,False,False,False,0140_Kabuto.png
141,Kabutops,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,False,False,False,False,False,False,0141_Kabutops.png
142,Aerodactyl,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,False,False,False,False,False,False,0142_Aerodactyl.png
142,Aerodactyl,Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,True,False,False,False,False,False,False,0142_Mega Aerodactyl.png
143,Snorlax,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,False,False,False,False,False,False,0143_Snorlax.png
144,Articuno,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,False,False,True,False,False,False,False,0144_Articuno.png
144,Articuno,Galarian Articuno,Psychic,Flying,580,90,85,85,125,100,95,1,False,False,True,False,False,True,False,0144_Galarian Articuno.png
145,Zapdos,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,False,False,True,False,False,False,False,0145_Zapdos.png
145,Zapdos,Galarian Zapdos,Fighting,Flying,580,90,125,90,85,90,100,1,False,False,True,False,False,True,False,0145_Galarian Zapdos.png
146,Moltres,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,False,False,True,False,False,False,False,0146_Moltres.png
146,Moltres,Galarian Moltres,Dark,Flying,580,90,85,90,100,125,90,1,False,False,True,False,False,True,False,0146_Galarian Moltres.png
147,Dratini,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,False,False,False,False,False,False,0147_Dratini.png
148,Dragonair,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,False,False,False,False,False,False,0148_Dragonair.png
149,Dragonite,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,False,False,True,False,False,False,0149_Dragonite.png
150,Mewtwo,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,False,False,True,False,False,False,False,0150_Mewtwo.png
150,Mewtwo,Mega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True,False,True,False,False,False,False,0150_Mega Mewtwo X.png
150,Mewtwo,Mega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True,False,True,False,False,False,False,0150_Mega Mewtwo Y.png
151,Mew,Mew,Psychic,,600,100,100,100,100,100,100,1,False,False,False,False,False,False,True,0151_Mew.png
152,Chikorita,Chikorita,Grass,,318,45,49,65,49,65,45,2,False,False,False,False,False,False,False,0152_Chikorita.png
153,Bayleef,Bayleef,Grass,,405,60,62,80,63,80,60,2,False,False,False,False,False,False,False,0153_Bayleef.png
154,Meganium,Meganium,Grass,,525,80,82,100,83,100,80,2,False,False,False,False,False,False,False,0154_Meganium.png
155,Cyndaquil,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False,False,False,False,False,False,False,0155_Cyndaquil.png
156,Quilava,Quilava,Fire,,405,58,64,58,80,65,80,2,False,False,False,False,False,False,False,0156_Quilava.png
157,Typhlosion,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False,False,False,False,False,False,False,0157_Typhlosion.png
157,Typhlosion,Hisuian Typhlosion,Fire,Ghost,534,73,84,78,119,85,95,2,False,False,False,False,False,True,False,0157_Hisuian Typhlosion.png
158,Totodile,Totodile,Water,,314,50,65,64,44,48,43,2,False,False,False,False,False,False,False,0158_Totodile.png
159,Croconaw,Croconaw,Water,,405,65,80,80,59,63,58,2,False,False,False,False,False,False,False,0159_Croconaw.png
160,Feraligatr,Feraligatr,Water,,530,85,105,100,79,83,78,2,False,False,False,False,False,False,False,0160_Feraligatr.png
161,Sentret,Sentret,Normal,,215,35,46,34,35,45,20,2,False,False,False,False,False,False,False,0161_Sentret.png
162,Furret,Furret,Normal,,415,85,76,64,45,55,90,2,False,False,False,False,False,False,False,0162_Furret.png
163,Hoothoot,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,False,False,False,False,False,False,0163_Hoothoot.png
164,Noctowl,Noctowl,Normal,Flying,452,100,50,50,86,96,70,2,False,False,False,False,False,False,False,0164_Noctowl.png
165,Ledyba,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,False,False,False,False,False,False,0165_Ledyba.png
166,Ledian,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,False,False,False,False,False,False,0166_Ledian.png
